"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"156.5625";"156.7625";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"156.8375";"157.1875";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"157.1875";"157.3375";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"157.3375";"161.7875";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"161.7875";"161.9375";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"161.9375";"161.9625";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"161.9625";"161.9875";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"161.9875";"162.0125";"MHz";"Maritime communications ← Maritime"
"EN 300 698";"https://www.etsi.org/deliver/etsi_en/300600_300699/300698/02.03.01_60/en_300698v020301p.pdf";"162.0125";"162.0375";"MHz";"Maritime communications ← Maritime"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"10000.0";"10400.0";"MHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"10.5";"10.55";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"10.55";"10.6";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"10.6";"10.68";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"22.0";"22.21";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"22.21";"22.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"22.5";"22.55";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"22.55";"23.15";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"23.15";"23.55";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"23.55";"23.6";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.25";"24.45";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.45";"24.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.5";"24.65";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.5";"24.65";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.65";"24.75";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.65";"24.75";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.75";"25.25";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"24.75";"25.25";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"25.25";"25.5";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"25.25";"25.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"25.5";"26.5";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"25.5";"26.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"27.5";"28.5";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"27.5";"28.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"28.5";"29.1";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"28.5";"29.1";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"29.1";"29.5";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"29.1";"29.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"31.0";"31.3";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"31.8";"32.0";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"32.0";"32.3";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"32.3";"33.0";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"33.0";"33.4";"GHz";"FWA ← BWA ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"40.5";"41.0";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"40.5";"41.0";"GHz";"MWS ← Point-to-Multipoint ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"41.0";"42.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"41.0";"42.5";"GHz";"MWS ← Point-to-Multipoint ← Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"42.5";"43.5";"GHz";"Fixed"
"EN 302 326";"http://www.etsi.org/deliver/etsi_en/302300_302399/30232602/01.02.02_60/en_30232602v010202p.pdf";"42.5";"43.5";"GHz";"MWS ← Point-to-Multipoint ← Fixed"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"57.0";"58.2";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"58.2";"59.0";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"59.0";"59.3";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"59.3";"64.0";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"64.0";"65.0";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 302 567";"http://www.etsi.org/deliver/etsi_en/302500_302599/302567/02.01.01_60/en_302567v020101p.pdf";"65.0";"66.0";"GHz";"Wideband data transmission systems ← Short Range Devices"
"EN 301 091";"http://www.etsi.org/deliver/etsi_en/301000_301099/30109102/02.01.01_60/en_30109102v020101p.pdf";"76.0";"77.5";"GHz";"Railway applications ← Short Range Devices"
"EN 301 091";"http://www.etsi.org/deliver/etsi_en/301000_301099/30109102/02.01.01_60/en_30109102v020101p.pdf";"76.0";"77.5";"GHz";"TTT ← Short Range Devices"
"EN 303 405";"http://www.etsi.org/deliver/etsi_en/303400_303499/303405/01.01.01_60/en_303405v010101p.pdf";"440.0";"450.0";"MHz";"PMR 446 ← PMR/PAMR ← Land mobile"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"10.7";"10.95";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"10.7";"10.95";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"10.95";"11.2";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"11.2";"11.45";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"11.45";"11.7";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"11.7";"12.5";"GHz";"Broadcasting (satellite) ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"11.7";"12.5";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"12.5";"12.75";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"12.5";"12.75";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"14.0";"14.25";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"14.25";"14.3";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"14.3";"14.4";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"14.4";"14.47";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 448";"http://www.etsi.org/deliver/etsi_en/302400_302499/302448/02.01.01_60/en_302448v020101p.pdf";"14.47";"14.5";"GHz";"ESIM ← FSS Earth stations ← Satellite systems (civil)"
"EN 302 208";"https://www.etsi.org/deliver/etsi_en/302200_302299/302208/03.03.01_60/en_302208v030301p.pdf";"862.0";"870.0";"MHz";"RFID ← Short Range Devices"
"EN 302 208";"https://www.etsi.org/deliver/etsi_en/302200_302299/302208/03.03.01_60/en_302208v030301p.pdf";"915.0";"921.0";"MHz";"RFID ← Short Range Devices"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"1606.5";"1625.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"1635.0";"1800.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"1850.0";"2000.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2000.0";"2025.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2025.0";"2045.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2045.0";"2160.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2170.0";"2173.5";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2173.5";"2190.5";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2173.5";"2190.5";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2190.5";"2194.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2194.0";"2300.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2300.0";"2498.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2625.0";"2650.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"2850.0";"3025.0";"kHz";"SAR (communications) ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"3155.0";"3200.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"3200.0";"3230.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"3230.0";"3400.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"3500.0";"3800.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"4000.0";"4063.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"4063.0";"4438.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"4063.0";"4438.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"5480.0";"5680.0";"kHz";"SAR (communications) ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"5680.0";"5730.0";"kHz";"SAR (communications) ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"6200.0";"6525.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"6200.0";"6525.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"8100.0";"8195.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"8195.0";"8815.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"8195.0";"8815.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"12230.0";"13200.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"12230.0";"13200.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"16360.0";"17410.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"16360.0";"17410.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"18168.0";"18780.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"18780.0";"18900.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"19680.0";"19800.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"19680.0";"19800.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"22000.0";"22855.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"22000.0";"22855.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"25070.0";"25210.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"25070.0";"25210.0";"kHz";"Maritime communications ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"26100.0";"26175.0";"kHz";"DSC ← GMDSS ← Maritime"
"EN 303 402";"https://www.etsi.org/deliver/etsi_en/303400_303499/303402/02.01.02_60/en_303402v020102p.pdf";"26100.0";"26175.0";"kHz";"Maritime communications ← Maritime"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"10150.0";"11175.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"11175.0";"11275.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"11275.0";"11400.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"11400.0";"11600.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"11600.0";"11650.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"11650.0";"12050.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"12050.0";"12100.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"12100.0";"12230.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"12230.0";"13200.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13200.0";"13260.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13260.0";"13360.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13360.0";"13410.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13410.0";"13450.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13450.0";"13550.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13550.0";"13570.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13570.0";"13600.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13600.0";"13800.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13800.0";"13870.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"13870.0";"14000.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"14000.0";"14250.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"14250.0";"14350.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"14350.0";"14990.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"14990.0";"15005.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"15005.0";"15010.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"15010.0";"15100.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"15100.0";"15600.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"15600.0";"15800.0";"kHz";"Railway applications ← Short Range Devices"
"EN 302 609";"http://www.etsi.org/deliver/etsi_en/302600_302699/302609/02.01.01_60/en_302609v020101p.pdf";"15800.0";"16100.0";"kHz";"Railway applications ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5150.0";"5250.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5250.0";"5255.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5255.0";"5350.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5470.0";"5570.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5570.0";"5650.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 301 893";"http://www.etsi.org/deliver/etsi_en/301800_301899/301893/02.01.01_60/en_301893v020101p.pdf";"5650.0";"5725.0";"MHz";"Radio LANs ← Wideband data transmission systems ← Short Range Devices"
"EN 302 608";"http://www.etsi.org/deliver/etsi_en/302600_302699/302608/01.01.01_60/en_302608v010101p.pdf";"4063.0";"4438.0";"kHz";"Railway applications ← Short Range Devices"
